기업번호	기업명	직무	신청	URL
01	이랜드팜앤푸드	구매	9	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/01.html
02	FSK L&S	회계	16	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/02.html
03	㈜이녹스첨단소재	인사	8	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/03.html
04	법무법인(유한)태평양	재무	16	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/04.html
05	하나은행	개인금융	15	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/05.html
06	서울신용평가	리서치	6	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/06.html
07	IBK기업은행	기업금융	15	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/07.html
08	인천관광공사	일반행정(마케팅)	14	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/08.html
09	서울올림픽기념국민체육진흥공단	일반행정(마케팅)	16	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/09.html
10	국민건강보험공단	일반행정(체납징수)	14	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/10.html
11	국가철도공단	기술(건설공사관리)	8	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/11.html
12	경기도남부경찰청	경찰공무원	6	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/12.html
13	노무법인유어스	공인노무사	9	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/13.html
14	호원세무회계사무소	세무사	9	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/14.html
15	예송법무사사무소	법무사	6	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/15.html
16	BGF리테일	영업관리	14	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/16.html
17	휘닉스 호텔앤드리조트	브랜드마케팅	12	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/17.html
18	참좋은여행	여행상품운영	5	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/18.html
19	㈜메라톤	디지털마케팅	13	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/19.html
20	삼성중공업	기술영업	7	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/20.html
21	ASML	필드서비스엔지니어	16	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/21.html
22	도쿄일렉트론코리아	필드서비스엔지니어	16	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/22.html
23	넥슨코리아	대외〮정책	6	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/23.html
24	(주)케이알산업	토목시공관리	3	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/24.html
25	국내 대기업 시공사(TOP 5)	건축시공관리	7	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/25.html
26	HD현대로보틱스	SW개발	11	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/26.html
27	비바리퍼블리카	서버개발	9	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/27.html
28	삼성전자	시스템SW개발	11	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/28.html
29	카카오	SW개발	13	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/29.html
30	㈜엠넥스(명화공업)	품질관리	11	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/30.html
31	삼성전자	설비운영	16	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/31.html
32	삼성전자	생산관리	16	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/32.html
33	삼성전자	공정기술	16	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/33.html
34	SK SIGNET	규격인증	6	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/34.html
35	동화약품	생산관리	10	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/35.html
36	㈜지평주조	연구개발	4	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/36.html
37	삼성SDI	연구개발	9	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/37.html
38	삼성전자	연구개발(패키지)	11	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/38.html
39	현대자동차	샤시설계	6	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/39.html
40	현대자동차	부품개발	6	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/40.html
C1	㈜캐럿글로벌		5	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/C1.html
C2	멜콘 주식회사		6	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/C2.html
C3	㈜태웅로직스		16	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/C3.html
C4	㈜씨앤씨인터내셔널		21	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/C4.html
C5	케어웰솔루션스㈜		11	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/C5.html
C6	㈜웰크론한텍		5	https://polanyi082.github.io/KYONGGI-UNIVERSITY_JOB-MENTOR/c/C6.html
